Sci-Fi,help,{"count": 593, "idf2": 10.1, "tf-idf2": 1.29, "tf-idf": 0.426, "tf_in_genre": 0.12775, "idf": 3.3364276645824775, "tf_tot": 0.099}
Sci-Fi,find,{"count": 1263, "idf2": 4.7, "tf-idf2": 1.28, "tf-idf": 0.609, "tf_in_genre": 0.27208, "idf": 2.2378638300988882, "tf_tot": 0.212}
Sci-Fi,time,{"count": 763, "idf2": 7.8, "tf-idf2": 1.28, "tf-idf": 0.486, "tf_in_genre": 0.16437, "idf": 2.954557029238833, "tf_tot": 0.129}
Sci-Fi,them,{"count": 832, "idf2": 7.1, "tf-idf2": 1.27, "tf-idf": 0.507, "tf_in_genre": 0.17923, "idf": 2.8262329322632938, "tf_tot": 0.141}
Sci-Fi,they,{"count": 1663, "idf2": 3.5, "tf-idf2": 1.25, "tf-idf": 0.643, "tf_in_genre": 0.35825, "idf": 1.7958592832197748, "tf_tot": 0.288}
Sci-Fi,have,{"count": 1180, "idf2": 4.9, "tf-idf2": 1.25, "tf-idf": 0.583, "tf_in_genre": 0.2542, "idf": 2.293358942690592, "tf_tot": 0.204}
Sci-Fi,an,{"count": 2279, "idf2": 2.5, "tf-idf2": 1.23, "tf-idf": 0.644, "tf_in_genre": 0.49095, "idf": 1.3111482561341197, "tf_tot": 0.403}
Sci-Fi,turn,{"count": 513, "idf2": 11.1, "tf-idf2": 1.23, "tf-idf": 0.384, "tf_in_genre": 0.11051, "idf": 3.473931188332412, "tf_tot": 0.09}
Sci-Fi,what,{"count": 725, "idf2": 7.8, "tf-idf2": 1.22, "tf-idf": 0.461, "tf_in_genre": 0.15618, "idf": 2.954557029238833, "tf_tot": 0.129}
Sci-Fi,it,{"count": 1826, "idf2": 3.1, "tf-idf2": 1.22, "tf-idf": 0.647, "tf_in_genre": 0.39336, "idf": 1.6438561897747248, "tf_tot": 0.32}
Sci-Fi,by,{"count": 2264, "idf2": 2.5, "tf-idf2": 1.22, "tf-idf": 0.646, "tf_in_genre": 0.48772, "idf": 1.3255393484397413, "tf_tot": 0.399}
Sci-Fi,set,{"count": 496, "idf2": 11.4, "tf-idf2": 1.22, "tf-idf": 0.375, "tf_in_genre": 0.10685, "idf": 3.50635266602479, "tf_tot": 0.088}
Sci-Fi,year,{"count": 753, "idf2": 7.5, "tf-idf2": 1.22, "tf-idf": 0.47, "tf_in_genre": 0.16221, "idf": 2.899695094204315, "tf_tot": 0.134}
Sci-Fi,has,{"count": 1772, "idf2": 3.2, "tf-idf2": 1.22, "tf-idf": 0.641, "tf_in_genre": 0.38173, "idf": 1.680382065799839, "tf_tot": 0.312}
Sci-Fi,new,{"count": 851, "idf2": 6.6, "tf-idf2": 1.21, "tf-idf": 0.5, "tf_in_genre": 0.18333, "idf": 2.7273795453370084, "tf_tot": 0.151}
